x L1 L2 Lsum
0 19 5.672923276430177 1.0106333758658148 6.683556652295993
1 20 5.8975138841531916 1.0295732567381148 6.927087140891306
2 21 6.135619236852397 1.0490495113684055 7.184668748220803
3 22 6.388337931646319 1.0690825440018044 7.4574204756481235
4 23 6.656881635494919 1.0896937363759496 7.746575371870868
5 24 6.942589224915586 1.1109055043345444 8.05349472925013
6 25 7.246943013309779 1.132741358294853 8.379684371604633
7 26 7.571587422092532 1.1552259678712185 8.72681338996375
8 27 7.91835052087892 1.1783852309835143 9.096735751862434
9 28 8.289268946049024 1.2022463478089336 9.491515293857958
10 29 8.686616809695662 1.2268378999679934 9.913454709663656
11 30 9.112939336816487 1.252189935371384 10.36512927218787
12 31 9.571092123424734 1.278334059193711 10.849426182618444
13 32 10.06428709937475 1.3053035314836747 11.369590630858426
14 33 10.59614651651862 1.3331333719682739 11.929279888486894
15 34 11.17076657735716 1.3618604726617232 12.532627050018883
16 35 11.792792687083828 1.391523718948562 13.18431640603239
17 36 12.467508772781665 1.422164119875533 13.889672892657199
18 37 13.200943693306858 1.4538249484590051 14.654768641765862
19 38 13.999998495514417 1.486551892894872 15.486550388409288
20 39 14.872599200400145 1.5203932196469123 16.392992420047058
21 40 15.827880982989953 1.555399949488665 17.38328093247862
22 41 16.876411116021732 1.5916260476842334 18.468037163705965
23 42 18.030459975413343 1.6291286296164293 19.65958860502977
24 43 19.304331879464556 1.6679681833080107 20.972300062772568
25 44 20.71477071406682 1.7082088104352078 22.422979524502026
26 45 22.281459387852216 1.7499184876044591 24.031377875456677
27 46 24.027637421933804 1.7931693498556174 25.82080677178942
28 47 25.980867724004465 1.8380379985706505 27.818905722575117
29 48 28.173992193724825 1.8846058362091829 30.058598029934007
30 49 30.64632664595804 1.93295943056471 32.57928607652275
31 50 33.445158950885606 1.9831909115421877 35.428349862427794
32 51 36.627630351895384 2.035398403803683 38.66302875569907
33 52 40.26309803714464 2.0896864990194848 42.35278453616412
34 53 44.43609507337135 2.146166771903846 46.58226184527519
35 54 49.250016342297286 2.204958344714831 51.45497468701212
36 55 54.83165401014282 2.2661885054650908 57.09784251560791
37 56 61.33665778850627 2.329993385734835 63.66665117424111
38 57 68.95585229886144 2.39651870471136 71.3523710035728
39 58 77.92200560055481 2.4659205869147485 80.38792618746956
40 59 88.51591943678531 2.5383664620226387 91.05428589880795
41 60 101.0692608441223 2.6140360562965914 103.6832969004189
42 61 115.95880600483247 2.693122486360416 118.65192849119289
43 62 133.58190590694693 2.775833467512034 136.35773937445896
44 63 154.29526726902404 2.8623926503951744 157.15765991941922
45 64 178.28930923608368 2.9530411017505163 181.2423503378342
46 65 205.3646576042824 3.0480389471495655 208.41269655143196
47 66 234.59543772957466 3.14766719613785 237.74310492571252
48 67 263.94468276024475 3.2522297731354355 267.19691253338016
49 68 290.07094424205576 3.3620557808319145 293.43300002288765
50 69 308.74326560625974 3.4775020267527657 312.2207676330125
51 70 316.1369297476368 3.5989558482633437 319.7358855959002
52 71 310.5416256716714 3.7268382766342856 314.2684639483057
53 72 293.2621111177965 3.861607587060047 297.12371870485657
54 73 267.92396801973064 4.003763288871669 271.9277313086023
55 74 238.79854588583433 4.153850618822068 242.9523965046564
56 75 209.397644739749 4.312465610496354 213.71011035024537
57 76 181.93990590259838 4.480260824913226 186.4201667275116
58 77 157.48571134097435 4.657951841603068 162.14366318257743
59 78 136.31426813560577 4.8463246263212945 141.16059276192706
60 79 118.27404065105405 5.046243911626996 123.32028456268105
61 80 103.02229410936562 5.2586627504953105 108.28095685986092
62 81 90.16256320173119 5.4846334317565475 95.64719663348774
63 82 79.31306421968667 5.725319980474401 85.03838420016106
64 83 70.13511159862887 5.982012507633043 76.11712410626191
65 84 62.34076386958322 6.2561437232360175 68.59690759281924
66 85 55.690796844259395 6.549307987033631 62.240104831293024
67 86 49.988871015315375 6.863283343955976 56.85215435927135
68 87 45.07476671168917 7.200057079880259 52.27482379156943
69 88 40.81796695529139 7.5618554412744095 48.3798223965658
70 89 37.11206689942217 7.951178294117679 45.06324519353985
71 90 33.87011029303649 8.370839659032525 42.240949952069016
72 91 31.020790511563238 8.824015257936981 39.84480576950022
73 92 28.505395993578492 9.31429845170577 37.81969444528426
74 93 26.275370690634677 9.845766249508863 36.12113694014354
75 94 24.29037113065368 10.423057442635201 34.71342857328888
76 95 22.516719387131666 11.051465376030578 33.56818476316224
77 96 20.926169530915203 11.737048440843465 32.66321797175867
78 97 19.494921552863758 12.486762077045602 31.981683629909362
79 98 18.202830537513716 13.308616947971846 31.51144748548556
80 99 17.032770054056762 14.211869025037382 31.244639079094142
81 100 15.970117621436327 15.207248642054235 31.177366263490562
82 101 15.002337087866605 16.30723718726758 31.30957427513419
83 102 14.118638215079663 17.526402035338858 31.64504025041852
84 103 13.309697997511966 18.88180260035682 32.19150059786879
85 104 12.567431542168169 20.393482988898846 32.96091453106702
86 105 11.884802897999764 22.085069528945695 33.96987242694546
87 106 11.255668220450147 23.98449414052869 35.240162360978836
88 107 10.674645216228438 26.124866443318588 36.79951165954702
89 108 10.137004034771422 28.54551737277026 38.682521407541685
90 109 9.638575732650176 31.2932324620677 40.931808194717874
91 110 9.17567519406434 34.42367938212378 43.59935457618812
92 111 8.745035989636294 38.00300385072972 46.74803984036601
93 112 8.343755131661773 42.10950671419341 50.45326184585518
94 113 7.969246063539468 46.83519919407064 54.804445257610105
95 114 7.619198524961785 52.286824053109285 59.906022578071074
96 115 7.291544178626447 58.58556711176471 65.87711129039116
97 116 6.98442708118438 65.86408011078447 72.84850719196885
