 x L1 L2 Lsum
0 0 3.0391055984887383 0.7312002431100565 3.7703058415987947
1 1 3.126865936136895 0.7428411069198538 3.869707043056749
2 2 3.218469875089112 0.7547617850824004 3.9732316601715123
3 3 3.3141443615331534 0.7669713046966531 4.081115666229806
4 4 3.414133278139287 0.7794790592990799 4.193612337438367
5 5 3.5186989776144997 0.7922948268318283 4.310993804446328
6 6 3.628123980048078 0.8054287886456298 4.4335527686937075
7 7 3.7427128542602137 0.8188915496060021 4.561604403866216
8 8 3.8627943062014496 0.8326941593764374 4.695488465577887
9 9 3.9887235007338244 0.8468481349578588 4.835571635691683
10 10 4.120884646932715 0.8613654845696553 4.98225013150237
11 11 4.259693881475065 0.876258732964185 5.13595261443925
12 12 4.405602489836419 0.8915409482737535 5.297143438110172
13 13 4.559100511039903 0.9072257704968247 5.466326281536728
14 14 4.720720778745794 0.9233274417386451 5.644048220484439
15 15 4.891043459734445 0.9398608383306303 5.830904298065075
16 16 5.070701160552307 0.9568415049628486 6.027542665515155
17 17 5.260384684544453 0.9742856909748134 6.234670375519267
18 18 5.460849535032058 0.9922103889616708 6.453059923993729
19 19 5.672923276430177 1.0106333758658148 6.683556652295993
20 20 5.8975138841531916 1.0295732567381148 6.927087140891306
21 21 6.135619236852397 1.0490495113684055 7.184668748220803
22 22 6.388337931646319 1.0690825440018044 7.4574204756481235
23 23 6.656881635494919 1.0896937363759496 7.746575371870868
24 24 6.942589224915586 1.1109055043345444 8.05349472925013
25 25 7.246943013309779 1.132741358294853 8.379684371604633
26 26 7.571587422092532 1.1552259678712185 8.72681338996375
27 27 7.91835052087892 1.1783852309835143 9.096735751862434
28 28 8.289268946049024 1.2022463478089336 9.491515293857958
29 29 8.686616809695662 1.2268378999679934 9.913454709663656
30 30 9.112939336816487 1.252189935371384 10.36512927218787
31 31 9.571092123424734 1.278334059193711 10.849426182618444
32 32 10.06428709937475 1.3053035314836747 11.369590630858426
33 33 10.59614651651862 1.3331333719682739 11.929279888486894
34 34 11.17076657735716 1.3618604726617232 12.532627050018883
35 35 11.792792687083828 1.391523718948562 13.18431640603239
36 36 12.467508772781665 1.422164119875533 13.889672892657199
37 37 13.200943693306858 1.4538249484590051 14.654768641765862
38 38 13.999998495514417 1.486551892894872 15.486550388409288
39 39 14.872599200400145 1.5203932196469123 16.392992420047058
40 40 15.827880982989953 1.555399949488665 17.38328093247862
41 41 16.876411116021732 1.5916260476842334 18.468037163705965
42 42 18.030459975413343 1.6291286296164293 19.65958860502977
43 43 19.304331879464556 1.6679681833080107 20.972300062772568
44 44 20.71477071406682 1.7082088104352078 22.422979524502026
45 45 22.281459387852216 1.7499184876044591 24.031377875456677
46 46 24.027637421933804 1.7931693498556174 25.82080677178942
47 47 25.980867724004465 1.8380379985706505 27.818905722575117
48 48 28.173992193724825 1.8846058362091829 30.058598029934007
49 49 30.64632664595804 1.93295943056471 32.57928607652275
50 50 33.445158950885606 1.9831909115421877 35.428349862427794
51 51 36.627630351895384 2.035398403803683 38.66302875569907
52 52 40.26309803714464 2.0896864990194848 42.35278453616412
53 53 44.43609507337135 2.146166771903846 46.58226184527519
54 54 49.250016342297286 2.204958344714831 51.45497468701212
55 55 54.83165401014282 2.2661885054650908 57.09784251560791
56 56 61.33665778850627 2.329993385734835 63.66665117424111
57 57 68.95585229886144 2.39651870471136 71.3523710035728
58 58 77.92200560055481 2.4659205869147485 80.38792618746956
59 59 88.51591943678531 2.5383664620226387 91.05428589880795
60 60 101.0692608441223 2.6140360562965914 103.6832969004189
61 61 115.95880600483247 2.693122486360416 118.65192849119289
62 62 133.58190590694693 2.775833467512034 136.35773937445896
63 63 154.29526726902404 2.8623926503951744 157.15765991941922
64 64 178.28930923608368 2.9530411017505163 181.2423503378342
65 65 205.3646576042824 3.0480389471495655 208.41269655143196
66 66 234.59543772957466 3.14766719613785 237.74310492571252
67 67 263.94468276024475 3.2522297731354355 267.19691253338016
68 68 290.07094424205576 3.3620557808319145 293.43300002288765
69 69 308.74326560625974 3.4775020267527657 312.2207676330125
70 70 316.1369297476368 3.5989558482633437 319.7358855959002
71 71 310.5416256716714 3.7268382766342856 314.2684639483057
72 72 293.2621111177965 3.861607587060047 297.12371870485657
73 73 267.92396801973064 4.003763288871669 271.9277313086023
74 74 238.79854588583433 4.153850618822068 242.9523965046564
75 75 209.397644739749 4.312465610496354 213.71011035024537
76 76 181.93990590259838 4.480260824913226 186.4201667275116
77 77 157.48571134097435 4.657951841603068 162.14366318257743
78 78 136.31426813560577 4.8463246263212945 141.16059276192706
79 79 118.27404065105405 5.046243911626996 123.32028456268105
80 80 103.02229410936562 5.2586627504953105 108.28095685986092
81 81 90.16256320173119 5.4846334317565475 95.64719663348774
82 82 79.31306421968667 5.725319980474401 85.03838420016106
83 83 70.13511159862887 5.982012507633043 76.11712410626191
84 84 62.34076386958322 6.2561437232360175 68.59690759281924
85 85 55.690796844259395 6.549307987033631 62.240104831293024
86 86 49.988871015315375 6.863283343955976 56.85215435927135
87 87 45.07476671168917 7.200057079880259 52.27482379156943
88 88 40.81796695529139 7.5618554412744095 48.3798223965658
89 89 37.11206689942217 7.951178294117679 45.06324519353985
90 90 33.87011029303649 8.370839659032525 42.240949952069016
91 91 31.020790511563238 8.824015257936981 39.84480576950022
92 92 28.505395993578492 9.31429845170577 37.81969444528426
93 93 26.275370690634677 9.845766249508863 36.12113694014354
94 94 24.29037113065368 10.423057442635201 34.71342857328888
95 95 22.516719387131666 11.051465376030578 33.56818476316224
96 96 20.926169530915203 11.737048440843465 32.66321797175867
